Left Lever Head Orient,Right Lever Head Orient,Food Cup Head Orient,Left Lever Press,Right Lever Press,Food Cup Entry,Initiate movement towards Left Lever,Velocity of movement towards Left Lever,Initiate movement towards Right Lever,Velocity of movement towards Right Lever,Initiate movement towards Food Cup,Velocity of movement towards Food Cup,Cue 1 onset time,Cue 1 offset time,Cue 2 onset time,Cue 2 offset time
1.6,,,5.11,,,2.5,4.1,5,12.8,,,,,,
5.1,,,33.19,,,30.6,26.9,18.2,2.9,,,,,,
18.5,,,61.24,,,66.7,26,37.5,1.8,,,,,,
22.8,,,85.72,,,87.1,7.5,58,14,,,,,,
28,,,106.26,,,126.2,2.7,93.7,4.1,,,,,,
31.5,,,132.8,,,130.9,26.6,130.3,15.3,,,,,,
54.9,,,156.44,,,155.4,8.5,138.6,11,,,,,,
58.6,,,170.91,,,168.1,29.2,168.6,7.9,,,,,,
81.3,,,187.28,,,173.2,26.6,169.9,16.6,,,,,,
84.8,,,202.8,,,204.4,10.8,208.9,13.7,,,,,,
105.2,,,216.64,,,213.5,13.7,239.8,14.8,,,,,,
123,,,239.45,,,241.7,8.5,257.3,13.7,,,,,,
126.9,,,253.64,,,256.6,9.9,292.8,9.8,,,,,,
131.3,,,272.16,,,265.3,24.1,303,16.6,,,,,,
147.2,,,289.94,,,268.8,13.8,318.2,8.1,,,,,,
150.1,,,302.36,,,286.2,3.9,350.1,11.3,,,,,,
154.7,,,317.96,,,286.8,24.9,365.7,15.9,,,,,,
170.2,,,332.75,,,294.4,11,384.8,8.3,,,,,,
186.1,,,344.94,,,327.4,7.5,391,10.6,,,,,,
202.1,,,360.25,,,348.8,17.8,399.5,18.1,,,,,,
215.6,,,371.31,,,385.7,3,415.4,2.8,,,,,,
227.5,,,385.13,,,,,451.6,13,,,,,,
231.3,,,396.75,,,,,490.4,19.8,,,,,,
235.6,,,413.79,,,,,494.9,7,,,,,,
238.6,,,425.44,,,,,,,,,,,,
252.7,,,434.82,,,,,,,,,,,,
265.5,,,445.61,,,,,,,,,,,,
270,,,457.38,,,,,,,,,,,,
285.6,,,473.12,,,,,,,,,,,,
288.9,,,483.66,,,,,,,,,,,,
301.1,,,,,,,,,,,,,,,
311.8,,,,,,,,,,,,,,,
316.7,,,,,,,,,,,,,,,
328.4,,,,,,,,,,,,,,,
331.4,,,,,,,,,,,,,,,
343.6,,,,,,,,,,,,,,,
354.7,,,,,,,,,,,,,,,
359.1,,,,,,,,,,,,,,,
369.9,,,,,,,,,,,,,,,
374.1,,,,,,,,,,,,,,,
383.8,,,,,,,,,,,,,,,
395.2,,,,,,,,,,,,,,,
407.8,,,,,,,,,,,,,,,
412.3,,,,,,,,,,,,,,,
424.2,,,,,,,,,,,,,,,
433.8,,,,,,,,,,,,,,,
444.3,,,,,,,,,,,,,,,
455.6,,,,,,,,,,,,,,,
471.5,,,,,,,,,,,,,,,
482.3,,,,,,,,,,,,,,,
